service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11070,1,0,1,0,1,1,1,20170729,20170827
10982,1,1,1,1,1,1,1,20170501,20171105
10983,1,1,1,1,1,1,1,20170501,20171105
10984,1,1,1,1,1,1,1,20170501,20171105
10730,0,0,0,0,0,1,1,20170501,20171105
11076,0,0,0,0,0,0,1,20171014,20171022
11074,0,0,0,0,0,1,0,20171014,20171021
11073,0,0,0,0,0,0,1,20171015,20171022
10975,1,1,1,1,1,1,1,20170502,20171105
10950,1,1,1,1,1,0,0,20170612,20170820
9894,0,0,0,0,0,1,0,20170513,20170520
10951,1,1,1,1,1,1,0,20170522,20170709
10941,0,0,0,0,0,1,0,20170525,20170709
10940,0,0,0,0,0,0,1,20170612,20170806
10949,0,0,0,0,1,1,0,20170714,20170722
10948,0,0,0,0,0,0,1,20170716,20170723
10954,1,1,1,1,1,1,0,20170522,20170702
10947,1,0,0,0,0,0,1,20170501,20170508
10943,0,0,0,0,1,1,0,20170714,20170722
10958,0,0,0,0,0,1,0,20170525,20170709
10927,1,1,1,1,1,0,0,20170502,20170820
10953,0,0,0,0,0,1,0,20170715,20170722
10957,1,1,1,1,1,1,1,20170522,20170709
10928,1,1,1,1,1,0,0,20170821,20170929
10956,0,0,0,0,0,0,1,20170528,20170709
10929,0,0,0,0,0,1,0,20170923,20170930
10930,0,0,0,0,0,1,0,20170724,20170916
10015,1,1,1,1,1,0,0,20170515,20170519
10938,1,1,1,1,1,1,1,20170522,20170709
10942,1,1,1,1,1,0,0,20170502,20170820
10935,0,0,0,0,0,1,1,20170714,20170723
10936,1,1,1,1,1,1,1,20170522,20170709
10937,1,0,0,0,0,0,1,20170501,20170507
10946,0,0,0,0,0,0,1,20170528,20170709
10944,0,0,0,0,0,0,1,20170612,20170806
10945,1,1,1,1,1,0,0,20170612,20170820
10952,1,1,1,1,1,0,1,20170522,20170709
9903,1,1,1,1,0,0,0,20170515,20170518
10932,1,1,1,1,1,0,0,20170612,20170806
10933,1,1,1,1,1,0,0,20170612,20170709
11055,1,1,1,1,1,1,1,20170501,20171105
10974,1,1,1,1,1,1,1,20170506,20171001
10971,1,1,1,1,1,1,1,20170506,20171001
10972,1,1,1,1,1,1,1,20170501,20170701
10925,0,0,0,0,0,1,1,20170612,20170709
10922,1,1,1,1,1,1,1,20170501,20171001
10920,1,1,1,1,1,1,1,20170501,20170701
11054,1,1,1,1,1,1,1,20170716,20170826
11052,0,0,0,0,0,1,0,20170506,20170716
11053,0,0,0,0,0,1,1,20170501,20171105
11039,1,1,1,1,1,1,1,20170501,20171105
11038,0,0,0,0,0,1,1,20170501,20170716
11037,1,1,1,1,1,0,0,20170502,20171103
11027,1,1,1,1,1,1,1,20170502,20171105
11028,0,0,0,0,0,1,1,20170501,20171105
11026,1,1,1,1,1,1,1,20170501,20171105
11035,1,1,1,1,1,1,1,20170502,20171105
11036,1,0,0,0,0,1,1,20170501,20170520
11034,1,1,1,1,1,1,1,20170502,20171105
11031,0,0,0,0,0,1,0,20170506,20170513
11032,0,0,0,0,0,0,1,20170501,20170521
11029,0,0,0,0,0,1,0,20170612,20171104
11033,0,0,0,0,0,1,1,20170506,20171105
10990,1,1,1,1,1,1,0,20170502,20171104
10989,0,0,0,0,0,1,1,20170525,20171008
10987,0,0,0,0,0,1,1,20170724,20171105
10988,1,1,1,1,1,1,1,20170502,20171105
9462,1,1,1,1,1,0,0,20170703,20170713
10993,1,1,1,1,1,0,0,20170502,20171103
10994,1,1,1,1,1,0,0,20170502,20171103
10992,0,0,0,0,0,1,1,20170527,20171008
10991,1,1,1,1,1,1,1,20170502,20171105
11077,0,0,0,0,0,1,1,20171014,20171015
11046,1,1,1,1,1,0,1,20170501,20171105
11045,1,1,1,1,1,0,1,20170501,20171105
11044,1,1,1,1,1,1,1,20170501,20171105
10670,1,1,1,1,1,1,1,20170902,20171105
10671,1,1,1,1,1,1,1,20170501,20170901
10685,1,1,1,1,1,1,1,20170501,20170901
10453,1,1,1,1,1,0,0,20170904,20171103
10669,1,1,1,1,1,0,0,20170502,20170901
10684,1,1,1,1,1,1,0,20170902,20171104
10682,1,1,1,1,1,1,1,20170501,20170901
